,sample,Artist,Song,Genre,Year,Decade,Era,Lyrics,compress_len,original_len,compress_score
10,11,Olivia Newton-John,Physical,Rock,1982,1980's,Early 80's,I'm saying all the things that I know you'll like Making good conversation I gotta handle you just right You know what I mean I took you to an intimate restaurant Then to a suggestive movie There's nothing left to talk about Unless it's horizontally Let's get physical physical I wanna get physical Let's get into physical Let me hear your body talk your body talk Let me hear your body talk I've been patient I've been good Tried to keep my hands on the table It's gettin' hard this holdin' back If you know what I mean I'm sure you'll understand my point of view We know each other mentally You gotta know that you're bringin' out The animal in me Let's get physical physical I wanna get physical Let's get into physical Let me hear your body talk your body talk Let me hear your body talk Let's get physical physical I wanna get physical Let's get into physical Let me hear your body talk your body talk Let me hear your body talk Let's get physical physical I wanna get physical Let's get into physical Let me hear your body talk your body talk Let me hear your body talk Let's get animal animal I wanna get animal Let's get into animal Let me hear your body talk Let me hear your body talk,517,1194,0.567001675041876
11,12,Survivor,Eye Of The Tiger,Rock,1982,1980's,Early 80's,Rising up back on the street Did my time took my chances Went the distance now I'm back on my feet Just a man and his will to survive So many times it happens too fast You trade your passion for glory Don't lose your grip on the dreams of the past You must fight just to keep them alive It's the eye of the tiger It's the thrill of the fight Rising up to the challenge of our rival And the last known survivor Stalks his prey in the night And he's watching us all with the eye of the tiger Face to face out in the heat Hanging tough staying hungry They stack the odds still we take to the street For the kill with the skill to survive It's the eye of the tiger It's the thrill of the fight Rising up to the challenge of our rival And the last known survivor Stalks his prey in the night And he's watching us all with the eye of the tiger Rising up straight to the top Had the guts got the glory Went the distance now I'm not gonna stop Just a man and his will to survive It's the eye of the tiger It's the thrill of the fight Rising up to the challenge of our rival And the last known survivor Stalks his prey in the night And he's watching us all with the eye of the tiger The eye of the tiger The eye of the tiger The eye of the tiger The eye of the tiger,558,1257,0.5560859188544153
12,13,Joan Jett and The Blackhearts,I Love Rock N' Roll,Rock,1982,1980's,Early 80's,I saw him dancing there by the record machine I knew he must have been about seventeen The beat was going strong Playing my favorite song And I could tell it wouldn't be long till he was with me yeah me And I could tell it wouldn't be long till he was with me yeah me Singing I love rock and roll So put another dime in the jukebox baby I love rock and roll So come and take your time and dance with me Ow He smiled so I got up and asked for his name But that don't matter he said 'cause it's all the same He said Can I take you home Where we can be alone? And next we were moving on he was with me yeah me Next we were moving on he was with me yeah me Singing I love rock and roll So put another dime in the jukebox baby I love rock and roll So come and take your time and dance with me Ow He said Can I take you home Where we can be alone? Next we're moving on he was with me yeah me And we'll be moving on and singing that same old song yeah with me Singing I love rock and roll So put another dime in the jukebox baby I love rock and roll So come and take your time and dance with me I love rock and roll So put another dime in the jukebox baby I love rock and roll So come and take your time and dance with I love rock and roll So put another dime in the jukebox baby I love rock and roll So come and take your time and dance with I love rock and roll So put another dime in the jukebox baby I love rock and roll So come and take your time and dance with I love rock and roll So put another dime in the jukebox baby I love rock and roll So come and take your time and dance with me,623,1586,0.60718789407314
13,14,Paul McCartney and Stevie Wonder,Ebony And Ivory,Pop,1982,1980's,Early 80's,Ebony and Ivory live together in perfect harmony Side by side on my piano keyboard oh Lord why don't we? We all know that people are the same wherever we go There is good and bad in everyone We learn to live we learn to give Each other what we need to survive together alive Ebony and Ivory live together in perfect harmony Side by side on my piano keyboard oh Lord why don't we? Ebony Ivory living in perfect harmony Ebony Ivory Ooh We all know that people are the same wherever you go There is good and bad in everyone We learn to live when we learn to give Each other what we need to survive together alive Ebony and Ivory live together in perfect harmony Side by side on my piano keyboard oh Lord why don't we? Side by side on my piano keyboard Oh Lord why don't we? Ebony Ivory living in perfect harmony,388,808,0.5198019801980198
14,15,J Geils Band,Centerfold,Rock,1982,1980's,Early 80's,Come on Does she walk? Does she talk? Does she come complete? My homeroom homeroom angel Always pulled me from my seat She was pure like snowflakes No one could ever stain The memory of my angel Could never cause me pain Years go by I'm lookin' through a girly magazine And there's my homeroom angel on the pages in between My blood runs cold My memory has just been sold My angel is the centerfold Angel is the centerfold My blood runs cold wooh My memory has just been sold Angel is the centerfold Slipped me notes under the desk While I was thinkin' about her dress I was shy I turned away Before she caught my eye I was shakin' in my shoes Whenever she flashed those baby blues Something had a hold on me When angel passed close by Those soft fuzzy sweaters Too magical to touch To see her in that neglig�e Is really just too much My blood runs cold Yeah my memory has just been sold My angel is the centerfold Angel is the centerfold My blood runs cold My memory has just been sold oh yeah Angel is the centerfold Na na na Yeah now listen It's okay I understand This ain't no Never Never Land I hope that when this issue's gone I'll see you when your clothes are on Take your car yes we will We'll take your car and drive it We'll take it to a motel room And take 'em off in private A part of me has just been ripped The pages from my mind are stripped Oh no I can't deny it Oh yeah I guess I gotta buy it My blood runs cold My memory has just been sold My angel is the centerfold Angel is the centerfold My blood runs cold wooh My memory has just been sold My angel is the centerfold Na na na Alright alright 1 2 3 4 Na na na My blood runs cold My memory has just been sold My angel is the centerfold Angel is the centerfold My blood runs cold oh yeah My memory has just been sold My angel is the centerfold Angel is the centerfold,801,1837,0.5639629831246598
15,16,Police,Every Breath You Take,Rock,1983,1980's,Early 80's,Every breath you take Every move you make Every bond you break Every step you take I'll be watching you Every single day Every word you say Every game you play Every night you stay I'll be watching you Oh can't you see You belong to me? How my poor heart aches with every step you take Every move you make Every vow you break Every smile you fake Every claim you stake I'll be watching you Since you've gone I've been lost without a trace I dream at night I can only see your face I look around but it's you I can't replace I feel so cold and I long for your embrace I keep crying baby baby please Oh can't you see You belong to me? How my poor heart aches with every step you take Every move you make Every vow you break Every smile you fake Every claim you stake I'll be watching you Every move you make Every step you take I'll be watching you I'll be watching you Every breath you take Every move you make Every bond you break Every step you take I'll be watching you Every single day Every word you say Every game you play Every night you stay I'll be watching you Every move you make Every vow you break Every smile you fake Every claim you stake I'll be watching you Every single day Every word you say Every game you play Every night you stay I'll be watching you Every breath you take Every move you make Every bond you break Every step you take I'll be watching you,527,1375,0.6167272727272727
16,17,Michael Jackson,Billie Jean,R&B,1983,1980's,Early 80's,She was more like a beauty queen From a movie scene I said Don't mind but what do you mean I am the one Who will dance on the floor in the round? She said I am the one Who will dance on the floor in the round She told me her name was Billie Jean As she caused a scene Then every head turned with eyes that dreamed of being the one Who will dance on the floor in the round People always told me Be careful of what you do And don't go around breaking young girls' hearts And mother always told me A be careful of who you love And be careful of what you do 'Cause the lie becomes the truth Billie Jean is not my lover She's just a girl who claims that I am the one But the kid is not my son She says I am the one But the kid is not my son For forty days and for forty nights Law was on her side But who can stand When she's in demand Her schemes and plans 'Cause we danced on the floor in the round So take my strong advice Just remember to always think twice Do think twice do think twice She told My baby we'd danced 'til three Then she looked at me Then showed a photo of a baby cry His eyes looked like mine oh no Do a dance on the floor in the round baby A people always told me Be careful of what you do And don't go around breaking young girls' hearts Don't break no heart A but she came and stood right by me And just the smell of sweet perfume And this happened much too soon And she called me to her room Billie Jean is not my lover She's just a girl who claims that I am the one But the kid is not my son No no no no no no no no Billie Jean is not my lover She's just a girl who claims that I am the one But the kid is not my son She says I am the one But the kid is not my son She says I am the one But the kid is not my son No no no Billie Jean is not my lover She's just a girl who claims that I am the one No there's not me baby But the kid is not my son No no no no no no no She says I am the one No babe But the kid is not my son no no no She says I am the one You know what you did She says he is my son Breaking my heart babe She says I am the one Billie Jean is not my lover Billie Jean is not my lover Billie Jean is not my lover She is the one Billie Jean is not my lover She is the one Don't call me Billie Jean She is the one Billie Jean is not my lover She is the one Billie Jean is not my lover,909,2317,0.6076823478636167
17,18,Irene Cara,Flashdance... What A Feeling,Pop,1983,1980's,Early 80's,First when there's nothing But a slow glowing dream That your fear seems to hide Deep inside your mind All alone I have cried Silent tears full of pride In a world made of steel Made of stone Well I hear the music Close my eyes feel the rhythm Wrap around take a hold of my heart What a feeling Being's believing I can have it all Now I'm dancing for my life Take your passion And make it happen Pictures come alive You can dance right through your life Now I hear the music Close my eyes I am rhythm In a flash it takes hold of my heart What a feeling being's believing I can have it all Now I'm dancing for my life Take your passion And make it happen Pictures come alive Now I'm dancing through my life What a feeling What a feeling I am music now Being's believing I am rhythm now Pictures come alive You can dance right through your life What a feeling I can really have it all Pictures come alive when I call I can have it all I can really have it all Have it all pictures come alive when I call Call call call call what a feeling I can have it all being's believing Being's believing take your passion Make it happen Make it happen What a feeling What a feeling,543,1168,0.5351027397260274
18,19,Men At Work,Down Under,Pop,1983,1980's,Early 80's,Travelling in a fried out Kombi On a hippie trail head full of zombie I met a strange lady she made me nervous She took me in and gave me breakfast And she said: Do you come from a land down under Where women glow and men plunder Can't you hear can't you hear the thunder You better run you better take cover Buying bread from a man in Brussels He was six foot four and full of muscle I said Do you speak a my language? He just smiled and gave me a Vegemite sandwich And he said: I come from a land down under Where beer does flow and men chunder Can't you hear can't you hear the thunder You better run you better take cover yeah Lying in a den in Bombay With a slack jaw and not much to say I said to the man Are you trying to tempt me? Because I come from the land of plenty And he said: Oh Do you come from a land down under oh yeah yeah Where women glow and men plunder Can't you hear can't you hear the thunder You better run you better take cover,483,953,0.4931794333683106
19,20,Michael Jackson,Beat It,Pop,1983,1980's,Early 80's,They told him Don't you ever come around here Don't wanna see your face You better disappear The fire's in their eyes and their words are really clear So beat it just beat it You better run you better do what you can Don't wanna see no blood don't be a macho man You wanna be tough better do what you can So beat it but you wanna be bad [Chorus] Just beat it beat it beat it beat it No one wants to be defeated Showin' how funky strong is your fight It doesn't matter who's wrong or right Just beat it beat it [4x] They're out to get you better leave while you can Don't wanna be a boy you wanna be a man You wanna stay alive better do what you can So beat it just beat it You have to show them that you're really not scared You're playin' with your life this ain't no truth or dare They'll kick you then they beat you then they'll tell you it's fair So beat it but you wanna be bad Just beat it beat it beat it beat it No one wants to be defeated Showin' how funky strong is your fight It doesn't matter who's wrong or right Just beat it beat it beat it beat it beat it Beat it beat it beat it beat it No one wants to be defeated Showin' how funky strong is your fight It doesn't matter who's wrong or right Just beat it beat it beat it beat it No one wants to be defeated Showin' how funky strong is your fight It doesn't matter who's wrong or right Just beat it beat it Beat it beat it beat it,576,1396,0.5873925501432665
