,sample,Artist,Song,Genre,Year,Decade,Era,Lyrics,compress_len,original_len,compress_score
39,40,Jefferson Starship,Nothing's Gonna Stop Us Now,Rock,1987,1980's,Late 80's,Lookin' in your eyes I see a paradise This world that I found Is too good to be true Standin' here beside you Want so much to give you This love in my heart That I'm feelin' for you Let 'em say we're crazy I don't care 'bout that Put your hand in my hand Baby don't ever look back Let the world around us Just fall apart Baby we can make it If we're heart to heart And we can build this dream together Standing strong forever Nothing's gonna stop us now And if this world runs out of lovers We'll still have each other Nothing's gonna stop us Nothing's gonna stop us now Oh whoa I'm so glad I found you I'm not gonna lose you Whatever it takes I will stay here with you Take it to the good times See it through the bad times Whatever it takes Is what I'm gonna do Let 'em say we're crazy What do they know Put your arms around me Baby don't ever let go Let the world around us Just fall apart Baby we can make it If we're heart to heart And we can build this dream together Standing strong forever Nothing's gonna stop us now And if this world runs out of lovers We'll still have each other Nothing's gonna stop us Nothing's gonna stop us Ooh all that I need is you All that I ever need And all that I want to do Is hold you forever ever and ever hey And we can build this dream together Standing strong forever Nothing's gonna stop us now And if this world runs out of lovers We'll still have each other Nothing's gonna stop us Nothing's gonna stop us We can build this dream together Standing strong forever Nothing's gonna stop us now Nothing's gonna stop us And if this world runs out of lovers We'll still have each other Nothing's gonna stop us now We can build this dream together Standing strong forever Nothing's gonna stop us now World runs out of lovers Nothing's gonna stop us We'll still have each other We can build this dream together Standing strong forever Nothing's gonna stop us now,766,1901,0.5970541820094687
40,41,George Michael,Faith,Pop,1988,1980's,Late 80's,Well I guess it would be nice If I could touch your body I know not everybody Has got a body like you But I've got to think twice Before I give my heart away And I know all the games you play Because I play them too Oh but I Need some time off from that emotion Time to pick my heart up off the floor Oh when that love comes down Without devotion Well it takes a strong man baby But I'm showing you the door �Cause I gotta have faith I gotta have faith �Cause I gotta have faith faith �Cause I gotta have faith faith faith Baby I know you're asking me to stay Say please please please don't go away You say I'm giving you the blues Maybe You mean every word you say Can't help but think of yesterday And another who tied me down to loverboy rules Before this river Becomes an ocean Before you throw my heart back on the floor Oh oh baby I reconsider My foolish notion Well I need someone to hold me But I'll wait for something more Yes I've gotta have faith� Mmm I gotta have faith �Cause I gotta have faith faith faith I gotta have faith a faith a faith Before this river Becomes an ocean Before you throw my heart back on the floor Oh oh baby I reconsider My foolish notion Well I need someone to hold me But I'll wait for something more Cause I gotta have faith Mmm I gotta have faith Because I got to have faith a faith a faith I gotta have faith a faith a faith,645,1366,0.527818448023426
41,42,INXS,Need You Tonight,Rock,1988,1980's,Late 80's,All you got is this moment Twenty first century's yesterday You can care all you want Everybody does yeah that's okay So slide over here And give me a moment Your moves are so raw I've got to let you know I've got to let you know You're one of my kind I need you tonight 'Cause I'm not sleeping There's something about you girl That makes me sweat How do you feel I'm lonely What do you think Can't think at all Whatcha gonna do Gonna live my life So slide over here And give me a moment Your moves are so raw I've got to let you know I've got to let you know You're one of my kind I need you tonight 'Cause I'm not sleeping There's something about you girl That makes me sweat So how do you feel I'm lonely What do you think Can't think at all Whatcha gonna do Gonna live my life So how do you feel I'm lonely what do you think can't think it all whatcha gonna do Gonna live my life So slide over here And give me a moment Your moves are so raw I've got to let you know I've got to let you know So slide over here And give me a moment I've got to let you know I've got to let you know You're one of my kind,507,1107,0.5420054200542005
42,43,George Harrison,Got My Mind Set On You,Rock,1988,1980's,Late 80's,I got my mind set on you I got my mind set on you I got my mind set on you I got my mind set on you But it's gonna take money A whole lotta spending money It's gonne take plenty of money To do it right child It's gonna take time A whole lot of precious time It's gonna take patience and time ummm To do it to do it to do it to do it to do it To do it right child I got my mind set on you I got my mind set on you I got my mind set on you I got my mind set on you And this time I know it's for real The feelings that I feel I know if I put my mind to it I know that I really can do it I got my mind set on you Set on you I got my mind set on you Set on you But it's gonna take money A whole lotta spending money It's gonna take plenty of money To do it right child It's gonna take time A whole lot of precious time It's gonna take patience and time ummm To do it to do it to do it to do it to do it To do it right child I got my mind set on you I got my mind set on you I got my mind set on you I got my mind set on you And this time I know it's for real The feelings that I feel I know if I put my mind to it I know that I really can do it But it's gonna take money A whole lotta spending money It's gonna take plenty of money To do it right child It's gonna take time A whole lot of precious time It's gonna take patience and time ummm To do it to do it to do it to do it to do it To do it right Set on you Set on you,532,1418,0.6248236953455572
43,44,Rick Astley,Never Gonna Give You Up,Pop,1988,1980's,Late 80's,We're no strangers to love You know the rules and so do I A full commitment's what I'm thinking of You wouldn't get this from any other guy I just wanna tell you how I'm feeling Gotta make you understand Never gonna give you up Never gonna let you down Never gonna run around and desert you Never gonna make you cry Never gonna say goodbye Never gonna tell a lie and hurt you We've known each other for so long Your heart's been aching but You're too shy to say it Inside we both know what's been going on We know the game and we're gonna play it And if you ask me how I'm feeling Don't tell me you're too blind to see Never gonna give you up Never gonna let you down Never gonna run around and desert you Never gonna make you cry Never gonna say goodbye Never gonna tell a lie and hurt you Never gonna give you up Never gonna let you down Never gonna run around and desert you Never gonna make you cry Never gonna say goodbye Never gonna tell a lie and hurt you Ooh give you up Ooh give you up Never gonna give never gonna give Give you up Never gonna give never gonna give Give you up We've known each other for so long Your heart's been aching but You're too shy to say it Inside we both know what's been going on We know the game and we're gonna play it I just wanna tell you how I'm feeling Gotta make you understand Never gonna give you up Never gonna let you down Never gonna run around and desert you Never gonna make you cry Never gonna say goodbye Never gonna tell a lie and hurt you Never gonna give you up Never gonna let you down Never gonna run around and desert you Never gonna make you cry Never gonna say goodbye Never gonna tell a lie and hurt you Never gonna give you up Never gonna let you down Never gonna run around and desert you Never gonna make you cry Never gonna say goodbye Never gonna tell a lie and hurt you,673,1837,0.6336418072945019
44,45,Guns N' Roses,Sweet Child O Mine,Rock,1988,1980's,Late 80's,She's got a smile that it seems to me Reminds me of childhood memories Where everything Was as fresh as the bright blue sky Now and then when I see her face It takes me away to that special place And if I stared too long I'd probably break down and cry Sweet child o' mine Sweet love of mine She's got eyes of the bluest skies As if they thought of rain I'd hate to look into those eyes And see an ounce of pain Her hair reminds me of a warm safe place Where as a child I'd hide And pray for the thunder and the rain To quietly pass me by Sweet child o' mine Sweet love of mine Sweet child o' mine Sweet love of mine Sweet child o' mine Sweet love of mine Where do we go? Where do we go now? Where do we go? Where do we go? Where do we go? Where do we go now? Where do we go? Sweet child o' mine Where do we go now? Where do we go? Where do we go? Where do we go now? Where do we go? Where do we go now? Where do we go? Where do we go now? Where do we go? Where do we go now now now now now now now now? Sweet child sweet child o' mine,459,1035,0.5565217391304348
45,46,Whitney Houston,So Emotional,Pop,1989,1980's,Late 80's,I don't know why I like it I just do I've been hearing your heartbeat inside of me I keep your photograph beside my bed Livin' in a world of fantasies I can't get you out of my head I've been waiting for the phone to ring all night Why you wanna make me feel so good I got a love of my own baby I shouldn't get so hung up on you Oh I remember the way that we touch I wish I didn't like it so much Oh I get so emotional baby Every time I think of you I get so emotional baby Ain't it shocking what love can do Ain't it shocking what love can do Ain't it shocking what love can do I gotta watch you walk in the room baby I gotta watch you walk out I like the animal way you move And when you talk I just watch your mouth Oh I remember the way that we touch I wish I didn't like it so much Oh I get so emotional baby Every time I think of you I get so emotional baby Ain't it shocking what love can do I get so emotional baby Every time I think of you I get so emotional baby Ain't it shocking what love can do Ain't it shocking what love can do Ain't it shocking what love can do See I remember the way that we touch I wish I didn't like it so much No no no I get so emotional baby Every time I think of you I get so emotional baby Ain't it shocking what love can do I get so emotional baby Every time I think of you I get so emotional baby Ain't it shocking what love can do I get so emotional baby I get so emotional baby Ain't it shocking what love can do I get so emotional baby Every time I think of you I get so emotional baby Ain't it shocking what love can do I get so emotional baby Every time I think of you I get so emotional baby Ain't it shocking what love can do,650,1674,0.6117084826762246
46,47,Belinda Carlisle,Heaven Is A Place On Earth,Rock,1989,1980's,Late 80's,Ooh baby do you know what that's worth? Ooh heaven is a place on earth They say in heaven love comes first We'll make heaven a place on earth Ooh heaven is a place on earth When the night falls down I wait for you And you come around And the world's alive With the sound of kids On the street outside When you walk into the room You pull me close and we start to move And we're spinning with the stars above And you lift me up in a wave of love Ooh baby do you know what that's worth? Ooh heaven is a place on earth They say in heaven love comes first We'll make heaven a place on earth Ooh heaven is a place on earth When I feel alone I reach for you And you bring me home When I'm lost at sea I hear your voice And it carries me In this world we're just beginning To understand the miracle of living Baby I was afraid before But I'm not afraid anymore Ooh baby do you know what that's worth? Ooh heaven is a place on earth They say in heaven love comes first We'll make heaven a place on earth Ooh heaven is a place on earth In this world we're just beginning To understand the miracle of living Baby I was afraid before But I'm not afraid anymore Ooh baby do you know what that's worth? Ooh heaven is a place on earth They say in heaven love comes first We'll make heaven a place on earth Ooh heaven is a place on earth,582,1322,0.5597579425113465
47,48,Tiffany,Could've Been,Pop,1989,1980's,Late 80's,The flowers you gave me Are just about to die When I think about what could've been Makes me want to cry The sweet words you whispered Didn't mean a thing I guess our song is over As we began to sing Could've been so beautiful Could've been so right Could've been my lover Every day day of my life Could've been so beautiful Could've been so right I'll never hold what could've been On a cold and lonely night The memories of our loving Still linger in the air Like the faded scent of your roses Stay with me everywhere Everytime I get my hopes up They always seem to fall Still what could've been Is better than what can never be at all at all Could've been so beautiful Could've been so right Could've been my lover Every day day of my life Could've been so beautiful Could've been so right You can't hold what could've been On a cold and lonely night Could've been so beautiful Could've been so right You can't hold what could've been On a cold and lonely night,449,964,0.5342323651452282
48,49,Breathe,Hands To Heaven,Pop,1989,1980's,Late 80's,As I watch you move Across the moon lit room There's so much tenderness in your loving Tomorrow I must leave The dawn knows no reprieve God give me strength when I am leaving So raise your hands to heaven And pray That we'll be back together someday Tonight I need your sweet caress Hold me in the darkness Tonight You calm my restlessness You relieve my sadness As we move to embrace Tears run down your face I whisper words of love so softly I can't believe this pain It's driving me insane Without your touch Life will be lonely So raise your hands to heaven And pray That we'll be back together someday Tonight I need your sweet caress Hold me in the darkness Tonight You calm my restlessness You relieve my sadness Tonight I need your sweet caress Hold me in the darkness Tonight You calm my restlessness You relieve my sadness Morning has come Another day I must pack my bags And say goodbye Goodbye Tonight I need your sweet caress Hold me in the darkness Tonight You calm my restlessness You relieve my sadness Tonight I need your sweet caress Hold me in the darkness Tonight You calm my restlessness You relieve my sadness,535,1131,0.5269672855879752
49,50,Steve Winwood,Roll With It,Rock,1989,1980's,Late 80's,When life is too much roll with it baby Don't stop and lose your touch oh no baby Hard times knocking on your door I'll tell them you ain't there no more Get on through it roll with it baby Luck'll come and then slip away you've gotta move bring it back to stay You just roll with it baby come on and just roll with it baby You and me roll with it baby hang on and just roll with it baby The way that you love is good as money I swear by stars above sweet as honey People think you're down and out you show them what it's all about You can make it roll with it baby When this world turns its back on you hang in and do that sweet thing you do You just roll with it baby you just roll with it baby Come on and just roll with it baby you and me just roll with it baby Now there'll be a day you'll get there baby you'll hear the music play you'll dance baby You'll leave bad times way behind nothing but good times on your mind You can do it roll with it baby Then you'll see life will be so nice it's just a step up to paradise You just roll with it baby you just roll with it baby You and me just roll with it baby Come on and just roll with it baby,509,1148,0.5566202090592335
50,51,Wilson Phillips,Hold On,Pop,1990,1990's,Early 90's,I know this pain Why do you lock yourself up in these chains? No one can change your life except for you Don't ever let anyone step all over you Just open your heart and your mind Is it really fair to feel this way inside? Some day somebody's gonna make you want to Turn around and say goodbye Until then baby are you going to let them Hold you down and make you cry Don't you know? Don't you know things can change Things'll go your way If you hold on for one more day Can you hold on for one more day Things'll go your way Hold on for one more day You could sustain Or are you comfortable with the pain? You've got no one to blame for your unhappiness You got yourself into your own mess Lettin' your worries pass you by Don't you think it's worth your time To change your mind? Some day somebody's gonna make you want to Turn around and say goodbye Until then baby are you going to let them Hold you down and make you cry Don't you know? Don't you know things can change Things'll go your way If you hold on for one more day Can you hold on for one more day Things'll go your way Hold on for one more day I know that there is pain But you hold on for one more day and Break free from the chains Yeah I know that there is pain But you hold on for one more day and you Break free break from the chains Some day somebody's gonna make you want to Turn around and say goodbye Until then baby are you going to let them Hold you down and make you cry Don't you know? Don't you know things can change Things'll go your way If you hold on for one more day yeah If you hold on Don't you know things can change Things'll go your way If you hold on for one more day If you hold on Can you hold on Hold on baby Won't you tell me now Hold on for one more day 'Cause It's gonna go your way Don't you know things can change Things'll go your way If you hold on for one more day Can't you change it this time Make up your mind Hold on Hold on Baby hold on,763,1941,0.6069036579082947
51,52,Roxette,It Must Have Been Love,Pop,1990,1990's,Early 90's,it must have been love but it's over now Lay a whisper on my pillow Leave the winter on the ground I wake up lonely there's air of silence In the bedroom and all around Touch me now I close my eyes and dream away It must have been love but it's over now It must have been good but I lost it somehow It must have been love but it's over now From the moment we touched 'til the time had run out Make believing we're together That I'm sheltered by your heart But in and outside I've turned to water Like a teardrop in your palm And it's a hard winter's day I dream away It must have been love but it's over now It was all that I wanted now I'm living without It must have been love but it's over now It's where the water flows it's where the wind blows It must have been love but it's over now It must have been good but I lost it somehow It must have been love but it's over now From the moment we touched 'til the time had run out Yeah it must have been love but it's over now It was all that I wanted now I'm living without It must have been love but it's over now It's where the water flows it's where the wind blows must have been love but it's over now,507,1155,0.561038961038961
52,53,Sinead O'Connor,Nothing Compares 2 U,Rock,1990,1990's,Early 90's,It's been seven hours and fifteen days Since you took your love away I go out every night and sleep all day Since you took your love away Since you've been gone I can do whatever I want I can see whomever I choose I can eat my dinner in a fancy restaurant But nothing I said nothing can take away these blues 'Cause nothing compares Nothing compares to you It's been so lonely without you here Like a bird without a song Nothing can stop these lonely tears from falling Tell me baby where did I go wrong I could put my arms around every boy I see But they'd only remind me of you I went to the doctor and guess what he told me? Guess what he told me? He said Girl you better try to have fun no matter what you do But he's a fool 'Cause nothing compares Nothing compares to you All the flowers that you planted mother in the back yard All died when you went away I know that living with you baby was sometimes hard But I'm willing to give it another try Nothing compares Nothing compares to you Nothing compares Nothing compares to you Nothing compares Nothing compares to you,528,1075,0.5088372093023256
53,54,Bell Biv Devoe,Poison,R&B,1990,1990's,Early 90's,Yeah Spiderman and Freeze in full effect ne e Uh huh  You ready Ron?  I'm ready You ready Biv? I'm ready Slick are you?  Oh yeah break it down  Girl I must Warrrrrn yoooooooooou I sense something strange in my mind Situation is seriooooooooous Let's cure it 'cause we're running out of time It's oh so beautifuuuuuuuuul Relationships they seem from the start It's all so deadllllllllly When love is not together from the heart [] It's drivin' me out of my mind That's why it's HARD for me to find Can't get it out of my head Miss her kiss her love her Wrong move you're dead That girl is POISOOOOOOOOOOOOOOOOOON Never trust a big butt and smile That girl is POISOOOOOOOOOOOOOON  POISON   [If I were you I'd take pre ]  cautiooooooooooooon Before I start to meet fly girl you know? 'Cause in some portiooooooooooons You'll think she's the best thing in the world She's so   flyyyyyyyyyyyy She'll drive you right out of your mind And steal your heart when you're blind Beware she's schemin' she'll make you think you're dreamin' YOU'LL fall in love and you'll be screamin' demon HOO  Poison deadly movin it slow Lookin for  mellow fellow like DeVoe Gettin paid laid so better lay low Schemin on house money and the whole show The low pro hoe she'll be cut like an aaa FRO See what you're sayin' huh she's a winner to you But I know she's a loser How do you know? Me and the crew used to do her POISOOOOOOOOOOOONPOISON  I was at the bar shake breakin and takin 'em all And that night I played the wall Checkin out the fellas the highs and lows Keepin one eye open still clockin' the hoes There was one particular girl that stood out from the rest Poison as can be the high power chest Michael Bivins here and I'm runnin' the show Bell Biv DeVoe   now you know Yo Slick blow  Yo' fellas that was another Dope one You know what I'm sayin' Mike? Yeah BBD in full effect Yo' wassup to Ralph T and Johnny G And I can't forget about my boy B Brown And the whole NE crew POISOOOOOOOOOON,907,1976,0.5409919028340081
54,55,Madonna,Vogue,Pop,1990,1990's,Early 90's,Strike a pose Strike a pose Vogue vogue vogue Vogue vogue vogue Look around everywhere you turn is heartache It's everywhere that you go look around You try everything you can to escape The pain of life that you know life that you know When all else fails and you long to be Something better than you are today I know a place where you can get away It's called a dance floor And here's what it's for So come on vogue Let your body move to the music move to the music Hey hey hey Come on vogue Let your body go with the flow go with the flow You know you can do it All you need is your own imagination So use it that's what it's for that's what it's for Go inside for your finest inspiration Your dreams will open the door open up the door It makes no difference if you're black or white If you're a boy or a girl If the music's pumping it will give you new life You're a superstar yes that's what you are you know it Come on vogue Let your body groove to the music groove to the music Hey hey hey Come on vogue Let your body go with the flow go with the flow You know you can do it Beauty's where you find it Not just where you bump and grind it Soul is in the musical That's where I feel so beautiful Magical life's a ball So get up on the dance floor Come on vogue Let your body move to the music move to the music Hey hey hey Come on vogue Let your body go with the flow go with the flow You know you can do it Vogue Vogue Beauty's where you find it move to the music Vogue Vogue Beauty's where you find it go with the flow Greta Garbo and Monroe Dietrich and DiMaggio Marlon Brando Jimmy Dean On the cover of a magazine Grace Kelly; Harlow Jean Picture of a beauty queen Gene Kelly Fred Astaire Ginger Rogers dance on air They had style they had grace Rita Hayworth gave good face Lauren Katherine Lana too Bette Davis we love you Ladies with an attitude Fellows that were in the mood Don't just stand there let's get to it Strike a pose there's nothing to it Vogue vogue Oh you've got to Let your body move to the music Oh you've got to just Let your body go with the flow Oh you've got to Vogue,890,2100,0.5761904761904761
55,56,Bryan Adams,(Everything I Do) I Do It For You,Pop,1991,1990's,Early 90's,Look into my eyes � you will see What you mean to me Search your heart search your soul And when you find me there you'll search no more Don't tell me it's not worth tryin' for You can't tell me it's not worth dyin' for You know it's true: Everything I do I do it for you Look into your heart � you will find There's nothin' there to hide Take me as I am take my life I would give it all I would sacrifice Don't tell me it's not worth fightin' for I can't help it there's nothin' I want more You know it's true: Everything I do I do it for you oh yeah There's no love like your love And no other could give more love There's nowhere unless you're there All the time all the way yeah Look into your heart baby Oh you can't tell me it's not worth tryin' for I can't help it there's nothin' I want more Yeah I would fight for you I'd lie for you Walk the wire for you yeah I'd die for you You know it's true: Everything I do oh I do it for you Everything I do darling You will see it's true You will see it's true Yeah Search your heart and your soul You can't tell it's not worth dying for I'll be there I'd walk the fire for you I'd die for you,525,1143,0.5406824146981627
56,57,Color Me Badd,I Wanna Sex You Up,R&B,1991,1990's,Early 90's,Come inside take off your coat I'll make you feel at home Now let's pour a glass of wine 'cause now we're all alone I've been waiting all night so just let me hold you close to me 'Cause I've been dyin' for you girl and make love to me Girl you make me feel real good We can do it 'til we both wake up Girl you know I'm hooked on you And this is what I'll do I wanna sex you up All night You make me feel real good I wanna rub you down I wanna sex you up Let me take off all your clothes Disconnect the phone so nobody knows Let me light a candle So that we can make it better Makin' love until we drown Girl you know it feels real good We can do it 'til we both wake up Girl you know I'm hooked on you And this is what I'll do Make sweet lovin' all night long I wanna sex you up Feels so right it can't be wrong Don't be shy girl rescue me I wanna sex you up Open up your heart and I'll set you free,467,900,0.4811111111111111
57,58,C+C Music Factory,Gonna Make You Sweat,R&B,1991,1990's,Early 90's,Ev'rybody dance now Ev'rybody dance now Give me the music Give me the music Ev'rybody dance now Ev'rybody dance now Yeah Yeah Ev'rybody dance now Yeah Yeah Yeah Ev'rybody Here is the go Back with the pace My jam is live and I'm best and don't waste time Off the mic with dope ryhme Jump to the rhythm jump jump And I'm here to combine Beats and lyrics to make you shake your pants Take a chance Come on and dance Guys grab a girl Won't wait make the twirlIt's your world and I'm just a squirrel Tryin' to get a nut to move your butt to the dance floor So your butts up hands in the air come on say Yeah Ev'rybody over here Ev'rybody over there The crowd is live enough for this fool Party people in the house move next in line Groove Work me all night Come on let's sweat baby Let the music take control Let the rhythm move you Sweat sweat Let the music take control Let the rhythm move you Ev'rybody dance now Da da da da da da da da da Da da da da da da da da da Da da da da da da da da da Da da da da da da da da da Da da da da da da da da da Da da da da da da a da da Da da da da da da da da da Da da da da da da da da da Da da da da da da da da da Woo Da da da da da da da da da Da da da da da da da da da Da da da da da da da da da Da da da da Pause Take a breath and go for yours On my command Now hit the dance floor It's gonna make you sweat till you bleed Is that dope enough indeed I paid the price to control the dice I'm more precise to the point I'm nice Let the music take control of your heart and soul Unfold your body is free and behold Dance till you can't dance till you can't dance no more Get off the floor and get a blow Then come back and upside down Easy now let me see you move Next in line groove work me all night The music is my life Ev'ry body dance now Ev'ry body dance now Ev'ry body dance now Ev'rybody come on let's sweat baby Let the music take control Let the rhythm move you Sweat sweat Let the music take control Let the rhythm move you Da da da da da da da da da Da da da da da da da da da Da da da da da da da da da,776,2055,0.6223844282238443
58,59,Paula Abdul,Rush Rush,Pop,1991,1990's,Early 90's,YOU'RE THE WHISPER OF A SUMMER BREEZE YOU'RE THE KISS THAT PUTS MY SOUL AT EASE WHAT I'M SAYING IS I'M IN TO YOU HERE'S MY STORY AND THE STORY GOES YOU GIVE LOVE YOU GET LOVE AND MORE THAN HEAVEN KNOWS YOU'RE GONNA SEE I'M GONNA RUN I'M GONNA TRY I'M GONNA TAKE THIS LOVE RIGHT TO YA ALL MY HEART ALL THE JOY OH BABY BABY PLEASE RUSH RUSH HURRY HURRY LOVER COME TO ME RUSH RUSH I WANNA SEE I WANNA SEE YA GET FREE WITH ME RUSH RUSH I CAN FEEL IT I CAN FEEL YOU ALL THROUGH ME RUSH RUSH OOH WHAT YOU DO TO ME AND ALL I WANT FROM YOU IS WHAT YOU ARE AND EVEN IF YOU'RE RIGHT NEXT TO ME YOU'RE STILL TOO FAR AWAY IF I'M NOT INSIDE YOUR ARMS I GET DRAMATIC BABY YES I KNOW BUT I NEED YOU I WANT YOU OOH MAN I LOVE YOU SO OOH OOH YOU'RE GONNA SEE I'M GONNA RUN I'M GONNA TRY I'M GONNA TAKE THIS LOVE RIGHT TO YA ALL MY HEART ALL THE JOY OOH BABY BABY PLEASE [Chorus x 2] WHEN YOU KISS ME UP AND DOWN TURN MY SENSES ALL AROUND oh BABY OH BABY I DON'T KNOW JUST HOW OR WHY BUT NO ONE ELSE HAS TOUCHED ME SO DEEP SO DEEP SO DEEP INSIDE YOU'RE GONNA SEE I'M GONNA RUN I'M GONNA TRY I'M GONNA TAKE THIS LOVE RIGHT TO YA ALL MY HEART ALL THE JOY OH BABY BABY PLEASE,562,1154,0.512998266897747
59,60,Timmy T,One More Try,Pop,1991,1990's,Early 90's,It's been a long time since you left me I didn't mean to make you cry I didn't mean to disappoint you I didn't mean to tell you lies And after all that we have been through Won't you let me tell you why One more try I didn't know how much I loved you One more try let me put my arms around you Living all these lonely nights without you Oh baby can we give it one more try  It's been a long time since I kissed   Can't we give it one more try one more try One more try I didn't know how much I loved you One more try let me put my arms around you Living all these lonely nights without you Oh baby can we give it one more try And after all that we have been through Won't you let me tell you why And now that we have found each other Can't we give it one more try one more try One more try I didn't know how much I loved you One more try let me put my arms around you Living all these lonely nights without you Oh baby can we give it one more try Oh girl you know I love you I just want you to know Our love I'll always treasure So please just don't let me go,486,1059,0.5410764872521246
60,61,Boyz II Men,End Of The Road,R&B,1992,1990's,Early 90's,We belong together And you know that I'm right Why do you play with my heart? Why do you play with my mind? Said we'd be forever Said it'd never die How could you love me and leave me And never say goodbye? When I can't sleep at night Without holding you tight Girl each time I try I just break down and cry Pain in my head Oh I'd rather be dead Spinnin' around and around Although we've come to the end of the road Still I can't let go It's unnatural you belong to me I belong to you Come to the end of the road Still I can't let go It's unnatural you belong to me I belong to you Girl I know you really love me You just don't realize You've never been there before It's only your first time Maybe I'll forgive you Maybe you'll try We should be happy together Forever you and I Will you love me again like you loved me before This time I want you to love me much more This time instead just come to my bed And baby just don't let me down Although we've come to the end of the road Still I can't let go can't let go It's unnatural you belong to me I belong to you Come to the end of the road Still I can't let go It's unnatural you belong to me I belong to you Maybe I'll forgive you Maybe you'll try We should be happy together Forever you and I I'm so lonely lonely So lonely lonely So lonely lonely Lonely This time instead just come to my bed And baby don't let me down Although we've come to the end of the road Still I can't let go It's unnatural you belong to me I belong to you Although we've come to the end of the road Oh my God Still I can't let go My God help me out a little bit baby It's unnatural you belong to me I belong to you We've come to the end of the road Still I can't let go It's unnatural you belong to me I belong to you Come to the end of the road Still I can't let go It's unnatural you belong to me I belong to you,755,1844,0.5905639913232104
61,62,Sir Mix A-lot,Baby Got Back,Hip-Hop,1992,1990's,Early 90's,Oh my god Becky look at her butt It is so big [scoff] She looks like one of those rap guys' girlfriends But you know who understands those rap guys? They only talk to her because she looks like a total prostitute 'kay? I mean her butt is just so big I can't believe it's just so round it's like out there I mean� gross Look She's just so black I like big butts and I can not lie You other brothers can't deny That when a girl walks in with an itty bitty waist And a round thing in your face You get sprung wanna pull up tough 'Cause you notice that butt was stuffed Deep in the jeans she's wearing I'm hooked and I can't stop staring Oh baby I wanna get with you And take your picture My homeboys tried to warn me But that butt you got makes me so horny Ooh Rump o' smooth skin You say you wanna get in my Benz? Well use me use me 'Cause you ain't that average groupie I've seen them dancin' To hell with romancin' She's sweat wet Got it goin' like a turbo 'Vette I'm tired of magazines Sayin' flat butts are the thing Take the average black man and ask him that She gotta pack much back So fellas Yeah Fellas Yeah Has your girlfriend got the butt? Hell yeah Tell 'em to shake it Shake it Shake it Shake it Shake that healthy butt Baby got back LA face with Oakland booty Baby got back LA face with Oakland booty LA face with Oakland booty I like 'em round and big And when I'm throwin' a gig I just can't help myself I'm actin' like an animal Now here's my scandal I wanna get you home And ugh double up ugh ugh I ain't talkin' bout Playboy 'Cause silicone parts are made for toys I want 'em real thick and juicy So find that juicy double Mix a Lot's in trouble Beggin' for a piece of that bubble So I'm lookin' at rock videos Knock kneed bimbos walkin' like hoes You can have them bimbos I'll keep my women like Flo Jo A word to the thick soul sisters I wanna get with ya I won't cuss or hit ya But I gotta be straight when I say I wanna [moan] Till the break of dawn Baby got it goin' on A lot of simps won't like this song 'Cause them punks like to hit it and quit it And I'd rather stay and play 'Cause I'm long and I'm strong And I'm down to get the friction on So ladies Yeah Ladies Yeah If you wanna roll in my Mercedes Yeah Then turn around Stick it out Even white boys got to shout Baby got back Baby got back Yeah baby when it comes to females Cosmo ain't got nothin' to do with my selection 36 24 36? Ha ha only if she's 5'3 [Sir Mix a Lot:] So your girlfriend rolls a Honda playin' workout tapes by Fonda But Fonda ain't got a motor in the back of her Honda My anaconda don't want none Unless you've got buns hun You can do side bends or sit ups But please don't lose that butt Some brothers wanna play that hard role And tell you that the butt ain't gold So they toss it and leave it And I pull up quick to retrieve it So Cosmo says you're fat Well I ain't down with that 'Cause your waist is small and your curves are kickin' And I'm thinkin' bout stickin' To the beanpole dames in the magazines: You ain't it Miss Thing Give me a sister I can't resist her Red beans and rice didn't miss her Some knucklehead tried to diss 'Cause his girls are on my list He had game but he chose to hit 'em And I pull up quick to get wit 'em So ladies if the butt is round And you want a triple X throw down Dial 1 900 MIXALOT And kick them nasty thoughts Baby got back Baby got back Little in the middle but she got much back,1474,3425,0.5696350364963504
